,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation1,param_batch_size,param_dropout1,param_epochs,param_input_dim,param_loss,param_optimizer,param_units1,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
715,154.26604692935945,13.408397966446643,0.40164895057678224,0.050507664828425856,elu,128,0.1,5000,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.1, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.6857143044471741,0.699999988079071,0.7285714149475098,0.7571428418159485,0.800000011920929,0.7142857313156128,0.6428571343421936,0.7714285850524902,0.7285714149475098,0.7285714149475098,0.7257142841815949,0.042281855418625613,193
716,249.58269996643065,10.319384740431019,0.4454663753509521,0.07530018569486184,elu,128,0.1,5000,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.1, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.8142856955528259,0.6428571343421936,0.7285714149475098,0.7428571581840515,0.7857142686843872,0.7428571581840515,0.6857143044471741,0.7428571581840515,0.7714285850524902,0.7428571581840515,0.7400000035762787,0.04598135920265784,55
717,343.3400146961212,18.09212444177431,0.38470919132232667,0.07496454409023426,elu,128,0.1,5000,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.1, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.7428571581840515,0.7142857313156128,0.7142857313156128,0.7571428418159485,0.6857143044471741,0.7285714149475098,0.6571428775787354,0.7428571581840515,0.7285714149475098,0.7285714149475098,0.7200000047683716,0.027994160128660208,242
718,365.45997014045713,49.7441525647305,0.34521872997283937,0.07084124867307745,elu,128,0.1,5000,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.1, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.7428571581840515,0.7571428418159485,0.7142857313156128,0.7857142686843872,0.7428571581840515,0.7428571581840515,0.7285714149475098,0.7571428418159485,0.7428571581840515,0.7428571581840515,0.7457142889499664,0.017842842724977562,22
719,517.959485411644,39.728741040943156,0.4760223388671875,0.11448691679042612,elu,128,0.1,5000,954,categorical_crossentropy,adam,1500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.1, 'epochs': 5000, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1500}",0.7285714149475098,0.6428571343421936,0.7142857313156128,0.7571428418159485,0.7428571581840515,0.7428571581840515,0.699999988079071,0.7142857313156128,0.699999988079071,0.7428571581840515,0.7185714304447174,0.03133102167524086,274
720,13.907631254196167,1.0451900872899407,0.3775691032409668,0.08955542546596118,elu,128,0.15,500,954,categorical_crossentropy,adam,100,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 100}",0.6428571343421936,0.6857143044471741,0.7142857313156128,0.6428571343421936,0.699999988079071,0.6285714507102966,0.6428571343421936,0.7142857313156128,0.699999988079071,0.6714285612106323,0.6742857158184051,0.031167751412378757,977
721,17.70418515205383,1.4215693461093577,0.3726470947265625,0.07627634015009074,elu,128,0.15,500,954,categorical_crossentropy,adam,250,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 250}",0.6571428775787354,0.6714285612106323,0.6571428775787354,0.7285714149475098,0.7285714149475098,0.7142857313156128,0.6714285612106323,0.6428571343421936,0.6571428775787354,0.699999988079071,0.6828571438789368,0.030505931578665012,886
722,25.725716972351073,2.6278871770336343,0.32659144401550294,0.07165008892897679,elu,128,0.15,500,954,categorical_crossentropy,adam,500,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 500}",0.6857143044471741,0.6571428775787354,0.7285714149475098,0.7428571581840515,0.6714285612106323,0.6571428775787354,0.6714285612106323,0.6714285612106323,0.6857143044471741,0.6714285612106323,0.684285718202591,0.027441960157628516,854
723,33.57582511901855,5.315616001604327,0.3553198575973511,0.08023171404872471,elu,128,0.15,500,954,categorical_crossentropy,adam,750,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 750}",0.6857143044471741,0.6857143044471741,0.7428571581840515,0.7285714149475098,0.7285714149475098,0.7142857313156128,0.6714285612106323,0.6142857074737549,0.6571428775787354,0.6571428775787354,0.688571435213089,0.03822596478474014,788
724,39.933642864227295,5.0246512413050874,0.34639749526977537,0.0964414834395128,elu,128,0.15,500,954,categorical_crossentropy,adam,1000,"{'activation1': 'elu', 'batch_size': 128, 'dropout1': 0.15, 'epochs': 500, 'input_dim': 954, 'loss': 'categorical_crossentropy', 'optimizer': 'adam', 'units1': 1000}",0.7142857313156128,0.6857143044471741,0.7571428418159485,0.7285714149475098,0.7142857313156128,0.6142857074737549,0.6571428775787354,0.7142857313156128,0.6857143044471741,0.6571428775787354,0.692857152223587,0.03951232941702396,722
